uint16x8_t vaddl_u8(uint8x8_t a, uint8x8_t b)	a -> Vn.8B;b -> Vm.8B	UADDL Vd.8H,Vn.8B,Vm.8B	Vd.8H -> result	v7/A32/A64
uint32x4_t vaddl_u16(uint16x4_t a, uint16x4_t b)	a -> Vn.4H;b -> Vm.4H	UADDL Vd.4S,Vn.4H,Vm.4H	Vd.4S -> result	v7/A32/A64
uint64x2_t vaddl_u32(uint32x2_t a, uint32x2_t b)	a -> Vn.2S;b -> Vm.2S	UADDL Vd.2D,Vn.2S,Vm.2S	Vd.2D -> result	v7/A32/A64
int16x8_t vaddl_high_s8(int8x16_t a, int8x16_t b)	a -> Vn.16B;b -> Vm.16B	SADDL2 Vd.8H,Vn.16B,Vm.16B	Vd.8H -> result	A64
int32x4_t vaddl_high_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	SADDL2 Vd.4S,Vn.8H,Vm.8H	Vd.4S -> result	A64
int64x2_t vaddl_high_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	SADDL2 Vd.2D,Vn.4S,Vm.4S	Vd.2D -> result	A64
uint16x8_t vaddl_high_u8(uint8x16_t a, uint8x16_t b)	a -> Vn.16B;b -> Vm.16B	UADDL2 Vd.8H,Vn.16B,Vm.16B	Vd.8H -> result	A64
uint32x4_t vaddl_high_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	UADDL2 Vd.4S,Vn.8H,Vm.8H	Vd.4S -> result	A64
uint64x2_t vaddl_high_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	UADDL2 Vd.2D,Vn.4S,Vm.4S	Vd.2D -> result	A64
int16x8_t vaddw_s8(int16x8_t a, int8x8_t b)	a -> Vn.8H;b -> Vm.8B	SADDW Vd.8H,Vn.8H,Vm.8B	Vd.8H -> result	v7/A32/A64
int32x4_t vaddw_s16(int32x4_t a, int16x4_t b)	a -> Vn.4S;b -> Vm.4H	SADDW Vd.4S,Vn.4S,Vm.4H	Vd.4S -> result	v7/A32/A64
int64x2_t vaddw_s32(int64x2_t a, int32x2_t b)	a -> Vn.2D;b -> Vm.2S	SADDW Vd.2D,Vn.2D,Vm.2S	Vd.2D -> result	v7/A32/A64
uint16x8_t vaddw_u8(uint16x8_t a, uint8x8_t b)	a -> Vn.8H;b -> Vm.8B	UADDW Vd.8H,Vn.8H,Vm.8B	Vd.8H -> result	v7/A32/A64
uint32x4_t vaddw_u16(uint32x4_t a, uint16x4_t b)	a -> Vn.4S;b -> Vm.4H	UADDW Vd.4S,Vn.4S,Vm.4H	Vd.4S -> result	v7/A32/A64
uint64x2_t vaddw_u32(uint64x2_t a, uint32x2_t b)	a -> Vn.2D;b -> Vm.2S	UADDW Vd.2D,Vn.2D,Vm.2S	Vd.2D -> result	v7/A32/A64
int16x8_t vaddw_high_s8(int16x8_t a, int8x16_t b)	a -> Vn.8H;b -> Vm.16B	SADDW2 Vd.8H,Vn.8H,Vm.16B	Vd.8H -> result	A64
int32x4_t vaddw_high_s16(int32x4_t a, int16x8_t b)	a -> Vn.4S;b -> Vm.8H	SADDW2 Vd.4S,Vn.4S,Vm.8H	Vd.4S -> result	A64
int64x2_t vaddw_high_s32(int64x2_t a, int32x4_t b)	a -> Vn.2D;b -> Vm.4S	SADDW2 Vd.2D,Vn.2D,Vm.4S	Vd.2D -> result	A64
uint16x8_t vaddw_high_u8(uint16x8_t a, uint8x16_t b)	a -> Vn.8H;b -> Vm.16B	UADDW2 Vd.8H,Vn.8H,Vm.16B	Vd.8H -> result	A64
uint32x4_t vaddw_high_u16(uint32x4_t a, uint16x8_t b)	a -> Vn.4S;b -> Vm.8H	UADDW2 Vd.4S,Vn.4S,Vm.8H	Vd.4S -> result	A64
uint64x2_t vaddw_high_u32(uint64x2_t a, uint32x4_t b)	a -> Vn.2D;b -> Vm.4S	UADDW2 Vd.2D,Vn.2D,Vm.4S	Vd.2D -> result	A64
int8x8_t vhadd_s8(int8x8_t a, int8x8_t b)	a -> Vn.8B;b -> Vm.8B	SHADD Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
int8x16_t vhaddq_s8(int8x16_t a, int8x16_t b)	a -> Vn.16B;b -> Vm.16B	SHADD Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
int16x4_t vhadd_s16(int16x4_t a, int16x4_t b)	a -> Vn.4H;b -> Vm.4H	SHADD Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vhaddq_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	SHADD Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vhadd_s32(int32x2_t a, int32x2_t b)	a -> Vn.2S;b -> Vm.2S	SHADD Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
int32x4_t vhaddq_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	SHADD Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
uint8x8_t vhadd_u8(uint8x8_t a, uint8x8_t b)	a -> Vn.8B;b -> Vm.8B	UHADD Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
uint8x16_t vhaddq_u8(uint8x16_t a, uint8x16_t b)	a -> Vn.16B;b -> Vm.16B	UHADD Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
uint16x4_t vhadd_u16(uint16x4_t a, uint16x4_t b)	a -> Vn.4H;b -> Vm.4H	UHADD Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
uint16x8_t vhaddq_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	UHADD Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
uint32x2_t vhadd_u32(uint32x2_t a, uint32x2_t b)	a -> Vn.2S;b -> Vm.2S	UHADD Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
uint32x4_t vhaddq_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	UHADD Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
int8x8_t vrhadd_s8(int8x8_t a, int8x8_t b)	a -> Vn.8B;b -> Vm.8B	SRHADD Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
int8x16_t vrhaddq_s8(int8x16_t a, int8x16_t b)	a -> Vn.16B;b -> Vm.16B	SRHADD Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
int16x4_t vrhadd_s16(int16x4_t a, int16x4_t b)	a -> Vn.4H;b -> Vm.4H	SRHADD Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vrhaddq_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	SRHADD Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vrhadd_s32(int32x2_t a, int32x2_t b)	a -> Vn.2S;b -> Vm.2S	SRHADD Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
int32x4_t vrhaddq_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	SRHADD Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
uint8x8_t vrhadd_u8(uint8x8_t a, uint8x8_t b)	a -> Vn.8B;b -> Vm.8B	URHADD Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
uint8x16_t vrhaddq_u8(uint8x16_t a, uint8x16_t b)	a -> Vn.16B;b -> Vm.16B	URHADD Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
uint16x4_t vrhadd_u16(uint16x4_t a, uint16x4_t b)	a -> Vn.4H;b -> Vm.4H	URHADD Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
uint16x8_t vrhaddq_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	URHADD Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
uint32x2_t vrhadd_u32(uint32x2_t a, uint32x2_t b)	a -> Vn.2S;b -> Vm.2S	URHADD Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
uint32x4_t vrhaddq_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	URHADD Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
int8x8_t vqadd_s8(int8x8_t a, int8x8_t b)	a -> Vn.8B;b -> Vm.8B	SQADD Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
int8x16_t vqaddq_s8(int8x16_t a, int8x16_t b)	a -> Vn.16B;b -> Vm.16B	SQADD Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
int16x4_t vqadd_s16(int16x4_t a, int16x4_t b)	a -> Vn.4H;b -> Vm.4H	SQADD Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vqaddq_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	SQADD Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vqadd_s32(int32x2_t a, int32x2_t b)	a -> Vn.2S;b -> Vm.2S	SQADD Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
int32x4_t vqaddq_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	SQADD Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
int64x1_t vqadd_s64(int64x1_t a, int64x1_t b)	a -> Dn;b -> Dm	SQADD Dd,Dn,Dm	Dd -> result	v7/A32/A64
int64x2_t vqaddq_s64(int64x2_t a, int64x2_t b)	a -> Vn.2D;b -> Vm.2D	SQADD Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	v7/A32/A64
uint8x8_t vqadd_u8(uint8x8_t a, uint8x8_t b)	a -> Vn.8B;b -> Vm.8B	UQADD Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
uint8x16_t vqaddq_u8(uint8x16_t a, uint8x16_t b)	a -> Vn.16B;b -> Vm.16B	UQADD Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
uint16x4_t vqadd_u16(uint16x4_t a, uint16x4_t b)	a -> Vn.4H;b -> Vm.4H	UQADD Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
uint16x8_t vqaddq_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	UQADD Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
uint32x2_t vqadd_u32(uint32x2_t a, uint32x2_t b)	a -> Vn.2S;b -> Vm.2S	UQADD Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
uint32x4_t vqaddq_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	UQADD Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
uint64x1_t vqadd_u64(uint64x1_t a, uint64x1_t b)	a -> Dn;b -> Dm	UQADD Dd,Dn,Dm	Dd -> result	v7/A32/A64
uint64x2_t vqaddq_u64(uint64x2_t a, uint64x2_t b)	a -> Vn.2D;b -> Vm.2D	UQADD Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	v7/A32/A64
int8_t vqaddb_s8(int8_t a, int8_t b)	a -> Bn;b -> Bm	SQADD Bd,Bn,Bm	Bd -> result	A64
int16_t vqaddh_s16(int16_t a, int16_t b)	a -> Hn;b -> Hm	SQADD Hd,Hn,Hm	Hd -> result	A64
int32_t vqadds_s32(int32_t a, int32_t b)	a -> Sn;b -> Sm	SQADD Sd,Sn,Sm	Sd -> result	A64
int64_t vqaddd_s64(int64_t a, int64_t b)	a -> Dn;b -> Dm	SQADD Dd,Dn,Dm	Dd -> result	A64
uint8_t vqaddb_u8(uint8_t a, uint8_t b)	a -> Bn;b -> Bm	UQADD Bd,Bn,Bm	Bd -> result	A64
uint16_t vqaddh_u16(uint16_t a, uint16_t b)	a -> Hn;b -> Hm	UQADD Hd,Hn,Hm	Hd -> result	A64
uint32_t vqadds_u32(uint32_t a, uint32_t b)	a -> Sn;b -> Sm	UQADD Sd,Sn,Sm	Sd -> result	A64
uint64_t vqaddd_u64(uint64_t a, uint64_t b)	a -> Dn;b -> Dm	UQADD Dd,Dn,Dm	Dd -> result	A64
int8x8_t vuqadd_s8(int8x8_t a, uint8x8_t b)	a -> Vd.8B;b -> Vn.8B	SUQADD Vd.8B,Vn.8B	Vd.8B -> result	A64
int8x16_t vuqaddq_s8(int8x16_t a, uint8x16_t b)	a -> Vd.16B;b -> Vn.16B	SUQADD Vd.16B,Vn.16B	Vd.16B -> result	A64
int16x4_t vuqadd_s16(int16x4_t a, uint16x4_t b)	a -> Vd.4H;b -> Vn.4H	SUQADD Vd.4H,Vn.4H	Vd.4H -> result	A64
int16x8_t vuqaddq_s16(int16x8_t a, uint16x8_t b)	a -> Vd.8H;b -> Vn.8H	SUQADD Vd.8H,Vn.8H	Vd.8H -> result	A64
int32x2_t vuqadd_s32(int32x2_t a, uint32x2_t b)	a -> Vd.2S;b -> Vn.2S	SUQADD Vd.2S,Vn.2S	Vd.2S -> result	A64
int32x4_t vuqaddq_s32(int32x4_t a, uint32x4_t b)	a -> Vd.4S;b -> Vn.4S	SUQADD Vd.4S,Vn.4S	Vd.4S -> result	A64
int64x1_t vuqadd_s64(int64x1_t a, uint64x1_t b)	a -> Dd;b -> Dn	SUQADD Dd,Dn	Dd -> result	A64
int64x2_t vuqaddq_s64(int64x2_t a, uint64x2_t b)	a -> Vd.2D;b -> Vn.2D	SUQADD Vd.2D,Vn.2D	Vd.2D -> result	A64
int8_t vuqaddb_s8(int8_t a, uint8_t b)	a -> Bd;b -> Bn	SUQADD Bd,Bn	Bd -> result	A64
int16_t vuqaddh_s16(int16_t a, uint16_t b)	a -> Hd;b -> Hn	SUQADD Hd,Hn	Hd -> result	A64
int32_t vuqadds_s32(int32_t a, uint32_t b)	a -> Sd;b -> Sn	SUQADD Sd,Sn	Sd -> result	A64
int64_t vuqaddd_s64(int64_t a, uint64_t b)	a -> Dd;b -> Dn	SUQADD Dd,Dn	Dd -> result	A64
uint8x8_t vsqadd_u8(uint8x8_t a, int8x8_t b)	a -> Vd.8B;b -> Vn.8B	USQADD Vd.8B,Vn.8B	Vd.8B -> result	A64
uint8x16_t vsqaddq_u8(uint8x16_t a, int8x16_t b)	a -> Vd.16B;b -> Vn.16B	USQADD Vd.16B,Vn.16B	Vd.16B -> result	A64
uint16x4_t vsqadd_u16(uint16x4_t a, int16x4_t b)	a -> Vd.4H;b -> Vn.4H	USQADD Vd.4H,Vn.4H	Vd.4H -> result	A64
uint16x8_t vsqaddq_u16(uint16x8_t a, int16x8_t b)	a -> Vd.8H;b -> Vn.8H	USQADD Vd.8H,Vn.8H	Vd.8H -> result	A64
uint32x2_t vsqadd_u32(uint32x2_t a, int32x2_t b)	a -> Vd.2S;b -> Vn.2S	USQADD Vd.2S,Vn.2S	Vd.2S -> result	A64
uint32x4_t vsqaddq_u32(uint32x4_t a, int32x4_t b)	a -> Vd.4S;b -> Vn.4S	USQADD Vd.4S,Vn.4S	Vd.4S -> result	A64
uint64x1_t vsqadd_u64(uint64x1_t a, int64x1_t b)	a -> Dd;b -> Dn	USQADD Dd,Dn	Dd -> result	A64
uint64x2_t vsqaddq_u64(uint64x2_t a, int64x2_t b)	a -> Vd.2D;b -> Vn.2D	USQADD Vd.2D,Vn.2D	Vd.2D -> result	A64
uint8_t vsqaddb_u8(uint8_t a, int8_t b)	a -> Bd;b -> Bn	USQADD Bd,Bn	Bd -> result	A64
uint16_t vsqaddh_u16(uint16_t a, int16_t b)	a -> Hd;b -> Hn	USQADD Hd,Hn	Hd -> result	A64
uint32_t vsqadds_u32(uint32_t a, int32_t b)	a -> Sd;b -> Sn	USQADD Sd,Sn	Sd -> result	A64
uint64_t vsqaddd_u64(uint64_t a, int64_t b)	a -> Dd;b -> Dn	USQADD Dd,Dn	Dd -> result	A64
int8x8_t vaddhn_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	ADDHN Vd.8B,Vn.8H,Vm.8H	Vd.8B -> result	v7/A32/A64
int16x4_t vaddhn_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	ADDHN Vd.4H,Vn.4S,Vm.4S	Vd.4H -> result	v7/A32/A64
int32x2_t vaddhn_s64(int64x2_t a, int64x2_t b)	a -> Vn.2D;b -> Vm.2D	ADDHN Vd.2S,Vn.2D,Vm.2D	Vd.2S -> result	v7/A32/A64
uint8x8_t vaddhn_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	ADDHN Vd.8B,Vn.8H,Vm.8H	Vd.8B -> result	v7/A32/A64
uint16x4_t vaddhn_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	ADDHN Vd.4H,Vn.4S,Vm.4S	Vd.4H -> result	v7/A32/A64
uint32x2_t vaddhn_u64(uint64x2_t a, uint64x2_t b)	a -> Vn.2D;b -> Vm.2D	ADDHN Vd.2S,Vn.2D,Vm.2D	Vd.2S -> result	v7/A32/A64
int8x16_t vaddhn_high_s16(int8x8_t r, int16x8_t a, int16x8_t b)	r -> Vd.8B;a -> Vn.8H;b -> Vm.8H	ADDHN2 Vd.16B,Vn.8H,Vm.8H	Vd.16B -> result	A64
int16x8_t vaddhn_high_s32(int16x4_t r, int32x4_t a, int32x4_t b)	r -> Vd.4H;a -> Vn.4S;b -> Vm.4S	ADDHN2 Vd.8H,Vn.4S,Vm.4S	Vd.8H -> result	A64
int32x4_t vaddhn_high_s64(int32x2_t r, int64x2_t a, int64x2_t b)	r -> Vd.2S;a -> Vn.2D;b -> Vm.2D	ADDHN2 Vd.4S,Vn.2D,Vm.2D	Vd.4S -> result	A64
uint8x16_t vaddhn_high_u16(uint8x8_t r, uint16x8_t a, uint16x8_t b)	r -> Vd.8B;a -> Vn.8H;b -> Vm.8H	ADDHN2 Vd.16B,Vn.8H,Vm.8H	Vd.16B -> result	A64
uint16x8_t vaddhn_high_u32(uint16x4_t r, uint32x4_t a, uint32x4_t b)	r -> Vd.4H;a -> Vn.4S;b -> Vm.4S	ADDHN2 Vd.8H,Vn.4S,Vm.4S	Vd.8H -> result	A64
uint32x4_t vaddhn_high_u64(uint32x2_t r, uint64x2_t a, uint64x2_t b)	r -> Vd.2S;a -> Vn.2D;b -> Vm.2D	ADDHN2 Vd.4S,Vn.2D,Vm.2D	Vd.4S -> result	A64
int8x8_t vraddhn_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	RADDHN Vd.8B,Vn.8H,Vm.8H	Vd.8B -> result	v7/A32/A64
int16x4_t vraddhn_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	RADDHN Vd.4H,Vn.4S,Vm.4S	Vd.4H -> result	v7/A32/A64
int32x2_t vraddhn_s64(int64x2_t a, int64x2_t b)	a -> Vn.2D;b -> Vm.2D	RADDHN Vd.2S,Vn.2D,Vm.2D	Vd.2S -> result	v7/A32/A64
uint8x8_t vraddhn_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	RADDHN Vd.8B,Vn.8H,Vm.8H	Vd.8B -> result	v7/A32/A64
uint16x4_t vraddhn_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	RADDHN Vd.4H,Vn.4S,Vm.4S	Vd.4H -> result	v7/A32/A64
uint32x2_t vraddhn_u64(uint64x2_t a, uint64x2_t b)	a -> Vn.2D;b -> Vm.2D	RADDHN Vd.2S,Vn.2D,Vm.2D	Vd.2S -> result	v7/A32/A64
int8x16_t vraddhn_high_s16(int8x8_t r, int16x8_t a, int16x8_t b)	r -> Vd.8B;a -> Vn.8H;b -> Vm.8H	RADDHN2 Vd.16B,Vn.8H,Vm.8H	Vd.16B -> result	A64
int16x8_t vraddhn_high_s32(int16x4_t r, int32x4_t a, int32x4_t b)	r -> Vd.4H;a -> Vn.4S;b -> Vm.4S	RADDHN2 Vd.8H,Vn.4S,Vm.4S	Vd.8H -> result	A64
int32x4_t vraddhn_high_s64(int32x2_t r, int64x2_t a, int64x2_t b)	r -> Vd.2S;a -> Vn.2D;b -> Vm.2D	RADDHN2 Vd.4S,Vn.2D,Vm.2D	Vd.4S -> result	A64
uint8x16_t vraddhn_high_u16(uint8x8_t r, uint16x8_t a, uint16x8_t b)	r -> Vd.8B;a -> Vn.8H;b -> Vm.8H	RADDHN2 Vd.16B,Vn.8H,Vm.8H	Vd.16B -> result	A64
uint16x8_t vraddhn_high_u32(uint16x4_t r, uint32x4_t a, uint32x4_t b)	r -> Vd.4H;a -> Vn.4S;b -> Vm.4S	RADDHN2 Vd.8H,Vn.4S,Vm.4S	Vd.8H -> result	A64
uint32x4_t vraddhn_high_u64(uint32x2_t r, uint64x2_t a, uint64x2_t b)	r -> Vd.2S;a -> Vn.2D;b -> Vm.2D	RADDHN2 Vd.4S,Vn.2D,Vm.2D	Vd.4S -> result	A64
int8x8_t vmul_s8(int8x8_t a, int8x8_t b)	a -> Vn.8B;b -> Vm.8B	MUL Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
int8x16_t vmulq_s8(int8x16_t a, int8x16_t b)	a -> Vn.16B;b -> Vm.16B	MUL Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
int16x4_t vmul_s16(int16x4_t a, int16x4_t b)	a -> Vn.4H;b -> Vm.4H	MUL Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vmulq_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	MUL Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vmul_s32(int32x2_t a, int32x2_t b)	a -> Vn.2S;b -> Vm.2S	MUL Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
